publishedAt,authorDisplayName,textDisplay,likeCount
2024-08-06T04:30:52Z,@andrijaya7458,"Penasaran saya, kong kalaikong apa yang mereka lakukan dibelakang layar, sampe judi online nya terkesan dibiarin",0
2024-08-03T23:06:42Z,@finalblade7879,"Di 2024 bulan 8 skrg..anak2 dibawah 10tahun udah terpapar sebanyak 80rb...<br>INGET INFLUENCER GAME MOBA YG TRIAK2 JUDOL,DOSA KALIAN TERUS BERTAMBAH TIAP HARI...",0
2024-08-02T08:42:58Z,@vickyfathony5740,"Gaya2 an ngasih tau influencer judi online berdosa, tapi elunya sambil ngerokok. Apa bedanya? situ sebelas dua belas sama mereka. Emang lu kira orang ngerokok gak mati? lebih parah bro, orang mati karena rokok lebih banyak daripada karena judi online. Instropeksi diri bro sebelum ngasih tau orang, perbaiki diri sendiri dulu!!  Dan kalo ditanya apakah saya ngebela para penjudi online ? kagak !! gw benci keduanya ; penjudi online dan perokok, malah pengen 2 kaum ini binasa wkwkwkw....",2
2024-08-06T01:10:48Z,@19julius_rizky52,"yaudah sekarang lu aja yang gerak dan aktif buat edukasi soal judol ke masyarakat indonesia, dengan narasi dan retorika sebagus mas ferry.",2
2024-08-06T05:07:52Z,@ZkrhhGmNg.,Tau gerak dong masuk ke dalem jgn ngebacot doang  wkwk,1
2024-08-25T13:25:52Z,@Njirlahpensaranbet,"point komen lu apaan sih bro? gw bingung nih, orang yg nyampein suatu hal bener msih aj dicaci maki",2
2024-10-01T22:04:02Z,@masteringabilitytobealone7976,Ngomong naon ari si BAGONG ❗,0
2024-10-08T14:23:55Z,@apasajah4071,Dongo,0
2024-08-02T06:23:23Z,@saidoval8139,"udah 10 bulan tapi masih banyak yang belom sadar, ayo orang indo yang masih judol melek dong",0
2024-07-26T16:40:52Z,@hariyantosetiawan10,Semoga judol segera sirna.,1
2024-07-20T10:10:21Z,@cahyosus4809,Baru kemarin ada yg dm gini😂,0
2024-07-15T14:47:57Z,@hazabagawanta7564,"Hnya hukum Allah yg PASTI benar sbgi aturan kehidupan ttg mindset makna kebahagiaan yg hakiki (Ridho Allah), hukum judi yg uda jls Harom&amp;hukuman bagi pelaku&amp;produsen judol yg memberikan efek jera. Sdh saatnya kita back to Islam Kaffah 🙏👍👍",0
2024-07-15T00:24:31Z,@faizalamri8310,Streamer teriak teriak kek kera,0
2024-07-14T06:14:27Z,@serenitas4405,"Judi online bakal terus ada di indonesia kalo:<br><br>1. Mindset manusia negara ini cuma terpaku sama &quot;hasil instan&quot;+ &quot;untung banyak dalam waktu singkat&quot; + &quot;tanpa kerja keras&quot;. Solusi: tingkatkan kualitas SDM dan kualitas pendidikan (kasarnya tingkatkan pengetahuan dan kemampuan berpikir logis manusia2 kita)<br>2. Hukuman buat pelaku (influencer + pemain) judol masih dianggap kurang nampol. Solusi: efek yang bakal bikin mereka bener2 kapok (hukuman seumur hidup tanpa kesempatan pengurangan masa tahanan, denda uang dengan nominal yang sangat besar, ato bahkan hukuman mati, tapi ujung2nya pasti koar2 soal HAM 😂)<br>3. &quot;Korban&quot; judol malah dikasih bansos sama negara. Udah uang negara ilang masih ditambah bayar bansos. Solusi: pikir2 lagi bansos ini solusi sementara apa jangka panjang, ada efek negatif buat negara ato nggak.<br><br>Selain itu, kualitas kehidupan manusia kita perlu perhatian juga, berikan kesempatan lebih buat manusia kita yang hidup dalam zona menengah kebawah, dari kesempatan kerja, dsb. Tapi kualitas hidup gak bakal berubah kalo mindset tetep sama.<br><br>CMIIW",0
2024-07-12T07:43:03Z,@ekafajhariadwar5384,influencer judi online : Bodo yg penting duit 🤑🤑,0
2024-07-11T17:53:03Z,@NinoArsya,Aplikasi bandar terbesar di indonesia adalh 7meter dan dana adalah aplikasi perbamkan milil judol<br>VIRALKAN,0
2024-07-11T11:45:07Z,@pjstudio81,"Anak SD &amp; SMP aja sekarang main judi online. <a href=""http://www.youtube.com/results?search_query=%23kominfo"">#kominfo</a>",0
2024-07-11T01:53:12Z,@Dailyrandomeme,Bang .. gua suka channel lu yang membahas semua realita hidup membawa edukasi yang baik .. semoga bisa nyentu 1jt subscriber bang .. udah gua subscribe,0
